Category,Similarity,Margin,SE,z,p,CIlow,CIhigh,Affiliation
Authorityvice,0.05,2.760177,0.1505196,18.34,0,2.465164,3.055189,R
Authorityvice,0.1,3.318585,0.1805466,18.38,0,2.964721,3.67245,R
Authorityvice,0.15,3.989966,0.2167514,18.41,0,3.565141,4.41479,R
Authorityvice,0.2,4.797172,0.2604436,18.42,0,4.286712,5.307632,R
Authorityvice,0.25,5.767683,0.3132178,18.41,0,5.153788,6.381579,R
Authorityvice,0.3,6.934539,0.3770156,18.39,0,6.195601,7.673476,R
Authorityvice,0.35,8.337458,0.4542028,18.36,0,7.447237,9.227679,R
Loyaltyvirtue,0.05,6.714838,0.4154439,16.16,0,5.900583,7.529093,D
Loyaltyvirtue,0.1,7.651149,0.4725707,16.19,0,6.724927,8.57737,D
Loyaltyvirtue,0.15,8.718017,0.5378028,16.21,0,7.663943,9.772091,D
Loyaltyvirtue,0.2,9.933648,0.6123262,16.22,0,8.733511,11.13379,D
Loyaltyvirtue,0.25,11.31879,0.6975043,16.23,0,9.951703,12.68587,D
Loyaltyvirtue,0.3,12.89707,0.7949059,16.22,0,11.33908,14.45505,D
Loyaltyvirtue,0.35,14.69542,0.9063355,16.21,0,12.91903,16.4718,D
Loyaltyvirtue,0.05,3.139353,0.1784002,17.6,0,2.789695,3.489011,R
Loyaltyvirtue,0.1,3.534067,0.2003735,17.64,0,3.141342,3.926792,R
Loyaltyvirtue,0.15,3.97841,0.2252034,17.67,0,3.537019,4.4198,R
Loyaltyvirtue,0.2,4.47862,0.253281,17.68,0,3.982198,4.975041,R
Loyaltyvirtue,0.25,5.041722,0.2850523,17.69,0,4.48303,5.600414,R
Loyaltyvirtue,0.3,5.675624,0.321027,17.68,0,5.046422,6.304825,R
Loyaltyvirtue,0.35,6.389226,0.3617868,17.66,0,5.680137,7.098315,R
Loyaltyvice,0.05,5.058443,0.2993868,16.9,0,4.471655,5.64523,D
Loyaltyvice,0.1,6.714999,0.3969628,16.92,0,5.936967,7.493032,D
Loyaltyvice,0.15,8.914051,0.5265988,16.93,0,7.881936,9.946166,D
Loyaltyvice,0.2,11.83326,0.698914,16.93,0,10.46341,13.2031,D
Loyaltyvice,0.25,15.70845,0.9280718,16.93,0,13.88946,17.52744,D
Loyaltyvice,0.3,20.85271,1.232972,16.91,0,18.43613,23.26929,D
Loyaltyvice,0.35,27.68163,1.638842,16.89,0,24.46956,30.8937,D
Loyaltyvice,0.05,3.225566,0.1752464,18.41,0,2.882089,3.569042,R
Loyaltyvice,0.1,3.82695,0.2075807,18.44,0,3.4201,4.233801,R
Loyaltyvice,0.15,4.540459,0.2460783,18.45,0,4.058155,5.022764,R
Loyaltyvice,0.2,5.386997,0.2919507,18.45,0,4.814784,5.95921,R
Loyaltyvice,0.25,6.391366,0.3466535,18.44,0,5.711938,7.070795,R
Loyaltyvice,0.3,7.582993,0.4119365,18.41,0,6.775613,8.390374,R
Loyaltyvice,0.35,8.99679,0.4899028,18.36,0,8.036599,9.956982,R
Purityvirtue,0.05,5.997763,0.3660463,16.39,0,5.280325,6.7152,D
Purityvirtue,0.1,7.404082,0.4511978,16.41,0,6.519751,8.288414,D
Purityvirtue,0.15,9.140148,0.5564784,16.42,0,8.04947,10.23083,D
Purityvirtue,0.2,11.28327,0.6867229,16.43,0,9.937323,12.62923,D
Purityvirtue,0.25,13.92891,0.8479439,16.43,0,12.26697,15.59085,D
Purityvirtue,0.3,17.19488,1.047622,16.41,0,15.14158,19.24818,D
Purityvirtue,0.35,21.22663,1.295069,16.39,0,18.68834,23.76492,D
Purityvirtue,0.05,3.307312,0.185274,17.85,0,2.944182,3.670442,R
