author,followers,tweet_count,created_at,date.enter,date.exit
reproberthurt,16972,2638,1/6/11 18:01,1/3/11,1/3/17
reprobinkelly,21142,2530,4/9/13 19:02,4/9/13,NA
reprobwoodall,7435,647,3/10/14 21:01,1/3/11,NA
reprodblum,9846,1353,1/6/15 22:59,1/3/15,NA
reprokhanna,11117,3080,1/3/17 15:03,1/3/17,NA
repronbarber,3992,1911,6/19/12 0:10,6/12/12,1/3/15
repronestes,2132,179,4/19/17 15:15,4/11/17,NA
repronkind,12385,1181,2/9/10 15:14,1/3/97,NA
reprooney,3613,695,1/3/17 2:39,1/3/17,NA
reproybalallard,20071,3362,1/31/12 21:30,1/3/93,NA
reprubengallego,73596,3213,1/7/15 19:31,1/3/15,NA
reprussell,6184,425,1/7/15 21:24,1/3/15,NA
reprwilliams,8456,3169,1/10/13 19:21,1/3/13,NA
repryancostello,9577,1466,12/31/14 22:38,1/3/15,NA
repsamgraves,12354,3374,4/8/09 17:20,1/3/01,NA
repsandylevin,26429,1276,3/22/09 4:32,1/3/83,NA
repsanfordsc,11359,2210,6/11/13 1:55,1/3/95,NA
repsarbanes,17067,1084,8/29/11 18:44,1/3/07,NA
repschneider,6685,1791,1/8/13 19:59,1/3/13,NA
repschrader,22020,699,2/10/09 21:04,1/3/09,NA
repscottperry,12844,2982,1/8/09 18:29,1/3/13,NA
repscottpeters,21012,4215,1/30/13 23:28,1/3/13,NA
repscottrigell,15833,2996,12/1/10 16:41,1/3/11,1/3/17
repseanduffy,30696,4296,1/4/11 17:28,1/3/11,NA
repseanmaloney,24632,1270,1/9/13 1:00,1/3/13,NA
repsheaporter,6179,1166,3/25/10 1:42,1/3/07,NA
repshimkus,26956,3795,7/25/08 17:01,1/3/97,NA
repsinema,26786,2976,1/11/13 20:31,1/3/13,NA
repsires,16338,2358,1/6/09 21:22,11/7/06,NA
repsmucker,5871,1153,5/20/09 18:31,1/3/17,NA
repspeier,107469,3649,3/17/09 17:02,4/8/08,NA
repstefanik,15274,2944,1/5/15 22:17,1/3/15,NA
repstephenlynch,15898,3156,6/3/11 14:48,10/16/01,NA
repstephmurphy,12009,1138,11/9/16 2:51,1/3/17,NA
repstevechabot,24210,1785,1/13/11 15:03,1/3/95,NA
repsteveisrael,29991,855,2/3/09 20:45,1/3/01,1/3/17
repstevepearce,11685,3321,1/7/11 19:44,1/3/03,NA
repstevestivers,29101,2912,11/3/10 5:57,1/3/11,NA
repsusandavis,16587,1816,12/9/11 19:22,1/3/01,NA
repswalwell,185576,7689,11/11/12 20:26,1/3/13,NA
reptedbudd,2983,546,1/5/17 22:39,1/3/17,NA
repteddeutch,25698,2521,4/27/10 19:51,4/13/10,NA
reptedlieu,94999,3661,2/19/15 20:08,1/3/15,NA
reptedyoho,20158,920,1/8/13 20:25,1/3/13,NA
reptenney,3302,1166,11/11/16 22:15,NA,NA
repterrisewell,28050,2715,9/27/11 20:47,1/3/11,NA
repthomasmassie,39923,1633,11/28/12 2:33,11/6/12,NA
repthompson,20848,6045,5/23/11 14:58,1/3/99,NA
reptierney,6350,1594,10/3/11 16:10,1/3/97,1/3/15
reptimjohnson,1943,284,2/11/11 17:01,1/3/01,1/3/13
reptimmurphy,NA,3222,,1/3/03,10/21/17
reptimryan,52289,2120,2/14/08 21:57,1/3/03,NA
reptimwalz,11910,3105,3/12/13 20:27,1/3/07,NA
reptipton,17671,2550,1/25/11 20:01,1/3/11,NA
reptomemmer,7449,3483,12/10/14 21:44,1/3/15,NA
reptomgraves,17235,1243,9/13/10 17:36,6/8/10,NA
reptommacarthur,12227,1812,1/5/15 23:22,1/3/15,NA
reptommarino,20794,2893,1/19/11 19:11,1/3/11,NA
reptomprice,40227,2594,6/4/07 19:24,1/3/05,2/10/17
reptomreed,14584,2307,2/16/11 0:03,11/2/10,NA
reptomrice,13392,901,1/3/13 17:35,1/3/13,NA
reptomsuozzi,3593,414,1/4/17 17:58,1/3/17,NA
reptrentfranks,NA,469,,1/3/03,12/8/17
reptrentkelly,7939,848,6/10/15 19:56,6/2/15,NA
reptrey,5700,193,12/22/16 17:26,1/3/17,NA
repvaldemings,6229,1308,11/16/16 19:36,1/3/17,NA
repveasey,15634,2782,1/9/13 15:49,1/3/13,NA
repvisclosky,11608,1779,9/22/10 21:24,1/3/85,NA
repwalberg,14552,3530,1/13/11 20:26,1/3/07,NA
repwalorski,14246,3348,1/6/13 15:41,1/3/13,NA
repwalterjones,22956,976,3/26/09 15:50,1/3/95,NA
repwebster,18270,3100,4/13/11 13:47,1/3/11,NA
repwesterman,7944,2080,10/31/14 3:57,1/3/15,NA
repwilson,61354,8607,1/4/11 17:08,1/3/11,NA
repyvetteclarke,39892,3221,1/20/11 20:14,1/3/07,NA
repzoelofgren,31251,1131,3/17/11 21:06,1/3/95,NA
robert_aderholt,19039,1368,9/22/09 21:16,1/3/97,NA
robwittman,25539,811,7/8/08 18:25,12/11/07,NA
rodneydavis,15398,3264,12/6/12 14:20,1/3/13,NA
rogermarshallmd,2969,863,3/3/13 23:50,1/3/17,NA
ronwyden,381761,4063,2/10/11 16:08,1/3/81,NA
rosadelauro,33086,877,5/5/10 18:11,1/3/91,NA
roslehtinen,115088,19385,4/1/08 14:59,8/29/89,NA
royblunt,78174,3843,2/19/09 2:58,1/3/97,NA
samspressshop,10361,1078,2/8/11 19:01,5/8/91,NA
sanfordbishop,15796,1708,2/9/11 0:23,1/3/93,NA
saxbychambliss,11639,854,3/27/12 14:03,1/3/95,1/3/15
scotttaylorva,13684,1695,5/25/09 3:04,NA,NA
sen_joemanchin,137745,3493,1/5/11 14:13,11/15/10,NA
senalexander,76088,3640,9/23/09 13:58,1/3/03,NA
senangusking,189370,3212,1/7/13 14:52,1/3/13,NA
senatemajldr,470548,2751,3/7/13 20:21,1/3/85,NA
senatorbaldwin,87835,9676,1/9/13 18:29,1/3/99,NA
senatorbarb,59167,3216,4/12/10 20:06,1/3/77,1/3/17
senatorbegich,19688,1198,10/20/09 18:47,1/3/09,1/5/15
senatorburr,104062,3393,2/18/09 1:53,1/3/95,NA
senatorcantwell,216886,4077,2/25/10 19:21,1/3/93,NA
senatorcardin,243925,3840,1/27/10 22:03,1/3/87,NA
senatorcarper,76723,3897,2/9/11 19:46,1/3/83,NA
senatorcollins,376894,2462,1/29/09 18:56,1/3/97,NA
senatordurbin,497393,10340,2/4/11 15:50,1/3/83,NA
senatorenzi,60141,3420,5/2/11 15:26,1/3/97,NA
senatorfischer,52892,3651,1/8/13 16:49,1/3/13,NA
senatorharkin,22403,2578,2/19/10 18:47,1/3/75,1/3/15
senatorhassan,139482,4095,11/13/12 21:27,1/3/17,NA
senatorheitkamp,67736,9430,1/4/13 17:57,1/3/13,NA
senatorisakson,52720,3744,9/29/09 20:09,2/23/99,NA
senatorkirk,58290,3222,11/3/10 17:51,1/3/01,1/3/17
senatorlankford,59093,3249,12/12/10 20:33,1/3/11,NA
senatorleahy,141217,10011,1/25/11 18:20,1/3/75,NA
senatormenendez,143859,3437,1/6/09 21:01,1/3/93,NA
senatorreid,457788,3204,10/15/08 19:42,1/3/83,1/3/17
senatorrisch,48539,1005,1/16/13 18:58,1/3/09,NA
senatorrounds,17044,2079,1/1/15 20:23,1/3/15,NA
senatorshaheen,82982,3755,1/28/10 15:22,1/3/09,NA
senatortester,95500,1044,3/5/12 20:13,1/3/07,NA
senatortimscott,364068,3673,11/19/10 20:34,1/3/11,NA
senatortomudall,145032,3828,7/28/09 6:10,1/3/99,NA
senatorwicker,56313,3659,3/11/11 14:59,1/3/95,NA
senbennetco,203453,1781,12/8/10 16:29,1/22/09,NA
senbillnelson,294491,447,2/11/09 15:44,1/3/79,NA
senblumenthal,377779,4392,4/6/11 17:13,1/3/11,NA
senbobcasey,385591,6537,7/27/10 18:38,1/3/07,NA
senbobcorker,357915,3398,9/11/09 3:56,1/3/07,NA
senbookeroffice,NA,3050,,NA,NA
senbrianschatz,29149,1378,3/12/13 14:23,NA,NA
sencapito,51108,3916,9/22/10 18:06,1/3/01,NA
sencarllevin,29221,997,12/1/09 1:44,1/3/79,1/3/15
sencortezmasto,24174,2457,12/20/16 20:53,1/3/17,NA
sencorygardner,94432,3451,1/7/11 17:02,1/3/11,NA
sendansullivan,16558,1854,11/5/14 21:25,1/3/15,NA
sendavidperdue,44740,2860,11/5/14 20:58,1/3/15,NA
sendeanheller,91152,2691,3/14/11 18:31,1/3/07,NA
sendonnelly,88571,3792,11/16/10 22:24,1/3/07,NA
senduckworth,294169,3589,1/3/13 18:59,1/3/13,NA
senfeinstein,829958,4249,1/27/12 23:06,11/10/92,NA
senfranken,392624,3987,7/28/10 16:11,7/7/09,1/2/18
sengarypeters,111548,3580,1/10/11 19:17,1/3/09,NA
sengillibrand,1094054,5786,9/7/09 3:53,1/3/07,NA
senjackreed,64373,2982,2/8/12 15:24,1/3/91,NA
senjeffmerkley,342727,6608,4/6/09 13:38,1/3/09,NA
senjohnbarrasso,78911,3178,10/13/10 14:49,6/25/07,NA
senjohnhoeven,55753,2396,9/30/11 17:55,1/3/11,NA
senjohnkennedy,11008,700,1/4/17 16:30,1/3/17,NA
senjohnmccain,3133458,4073,1/23/09 13:42,1/3/83,NA
senjohnthune,89258,2502,5/10/11 16:41,1/3/97,NA
senjoniernst,31773,1717,11/2/14 13:32,NA,NA
senkaineoffice,NA,435,,NA,NA
senlandrieu,16813,1398,11/15/11 22:40,1/3/97,1/3/15
senmarkey,105238,9111,2/20/09 15:49,7/16/13,NA
senmarkey,105238,9111,2/20/09 15:49,11/2/76,NA
senmikelee,415589,3393,11/9/09 22:47,1/3/11,NA
senmocowan,2666,249,2/5/13 18:10,2/1/13,7/15/13
senmurphyoffice,2860,860,10/31/14 20:54,NA,NA
senorrinhatch,63941,8229,3/8/11 18:04,1/3/77,NA
senpatroberts,50656,2575,9/18/09 19:34,1/3/81,NA
senrobportman,120330,10491,1/12/09 20:56,5/4/93,NA
senronjohnson,82288,2886,1/4/11 0:25,1/3/11,NA
senrubiopress,41966,3984,12/23/10 21:22,NA,NA
sensanders,7355924,4263,4/7/09 13:02,1/3/91,NA
sensasse,98011,847,1/5/15 22:39,1/3/15,NA
senschumer,1334298,10632,11/19/08 20:10,1/3/81,NA
senshelby,64106,1108,2/17/09 17:53,1/3/79,NA
sensherrodbrown,341958,4017,6/1/09 16:07,1/3/93,NA
senstabenow,83573,3195,9/22/09 21:30,1/3/97,NA
sentedcruz,1069215,4304,1/9/13 18:11,1/3/13,NA
senthadcochran,56363,2039,4/16/12 22:33,1/3/73,NA
senthomtillis,49092,1428,1/6/15 14:22,1/3/15,NA
sentoddyoung,34566,1345,1/4/11 22:35,1/3/11,NA
sentomcotton,119180,7073,11/24/12 19:33,1/3/13,NA
sentoomey,108079,1113,11/29/10 22:32,1/3/99,NA
senwarren,4089961,2818,11/25/12 15:14,1/3/13,NA
senwhitehouse,227483,4855,1/25/11 1:52,1/3/07,NA
speakerryan,3362712,10228,1/12/09 21:31,1/3/99,NA
staceyplaskett,5011,344,8/11/14 14:40,NA,NA
stevedaines,40698,1436,12/30/07 5:52,1/3/13,NA
stevekingia,79776,2129,6/17/09 21:09,1/3/03,NA
steveknight25,4475,790,1/12/15 13:24,1/3/15,NA
stevescalise,242918,3700,2/22/13 18:10,5/3/08,NA
stockmansenate,6280,597,3/1/12 4:49,1/3/95,1/3/15
supjanicehahn,14431,2966,7/21/11 19:22,7/12/11,12/4/16
susanwbrooks,16533,4004,1/9/13 15:30,1/3/13,NA
teammoulton,6903,2927,3/13/15 14:26,NA,NA
tgowdysc,741709,1840,1/12/11 16:57,1/3/11,NA
timkaine,912485,971,7/30/10 20:00,1/3/13,NA
toddrokita,20581,2886,11/21/08 20:10,1/3/11,NA
tomcoleok04,17359,1157,3/6/09 21:54,1/3/03,NA
tomrooney,20790,2810,3/12/09 15:44,1/3/09,NA
treyradel,8277,1895,11/5/08 21:29,1/3/13,1/27/14
tulsipress,95480,2539,1/5/13 22:57,1/3/13,NA
txrandy14,12076,2336,1/3/13 15:30,1/3/13,NA
usrepgarypalmer,13086,1758,11/4/14 22:58,1/3/15,NA
usrepkcastor,12258,1304,9/18/13 20:03,1/3/07,NA
usrepkeating,12900,234,1/1/11 23:58,1/3/11,NA
usreplong,14696,3457,5/20/13 15:02,1/3/11,NA
usrepmikedoyle,16212,1044,5/11/09 13:22,1/3/95,NA
usreprhinojosa,11395,2124,1/18/11 18:13,1/3/97,1/3/17
usrepricknolan,11044,2562,1/2/13 17:51,1/3/75,NA
usreprodney,12752,1120,4/26/13 14:05,1/3/95,NA
vernbuchanan,25969,2375,2/9/09 21:05,1/3/07,NA
virginiafoxx,21068,3276,9/12/08 13:30,1/3/05,NA
warrendavidson,7079,1276,6/14/16 15:08,6/7/16,NA
waxmanclimate,4615,794,8/27/12 20:31,1/3/75,1/3/15
westmoreland_ga,13771,3229,4/26/10 17:19,1/3/05,1/3/17
whiphoyer,101966,12664,2/26/09 14:13,5/19/81,NA
marlinstutzman,3159,1450,3/1/09 0:00,11/2/10,1/3/17
