Similarity,Margin,CIlow,CIhigh,Category,Affiliation
0.3,76.33026,25.31283,127.3477,Fairness-vice,D
0.35,121.1985,34.5782,207.8187,Fairness-vice,D
0.05,14.74029,6.710195,22.77039,Authority-virtue,D
0.1,19.63148,8.636787,30.62617,Authority-virtue,D
0.15,26.14568,10.93103,41.36034,Authority-virtue,D
0.2,34.82146,13.59232,56.05059,Authority-virtue,D
0.25,46.37606,16.57904,76.17308,Authority-virtue,D
0.3,61.76477,19.78119,103.7484,Authority-virtue,D
0.35,82.25981,22.97897,141.5407,Authority-virtue,D
0.05,8.220495,3.92995,12.51104,Authority-vice,D
0.1,13.60043,6.18403,21.01682,Authority-vice,D
0.15,22.50127,9.529014,35.47353,Authority-vice,D
0.2,37.22731,14.35639,60.09822,Authority-vice,D
0.25,61.59084,21.08257,102.0991,Authority-vice,D
0.3,101.8992,30.00688,173.7915,Authority-vice,D
0.35,168.5874,40.96982,296.2051,Authority-vice,D
0.05,24.70823,8.240727,41.17573,Loyalty-virtue,D
0.1,30.54483,10.24205,50.84761,Loyalty-virtue,D
0.15,37.76015,12.60355,62.91676,Loyalty-virtue,D
0.2,46.67989,15.35513,78.00464,Loyalty-virtue,D
0.25,57.70665,18.517,96.8963,Loyalty-virtue,D
0.3,71.33816,22.09347,120.5829,Loyalty-virtue,D
0.35,88.18972,26.06457,150.3149,Loyalty-virtue,D
0.05,11.85263,5.131357,18.57391,Loyalty-vice,D
0.1,19.38967,7.995754,30.78359,Loyalty-vice,D
0.15,31.71948,12.24817,51.19078,Loyalty-vice,D
0.2,51.88975,18.41707,85.36243,Loyalty-vice,D
0.25,84.8862,27.11408,142.6583,Loyalty-vice,D
0.3,138.865,38.91628,238.8137,Loyalty-vice,D
0.35,227.1685,54.06101,400.2761,Loyalty-vice,D
0.05,20.59454,8.586396,32.60268,Purity-virtue,D
0.1,28.71682,11.39026,46.04337,Purity-virtue,D
0.15,40.04245,14.84311,65.24179,Purity-virtue,D
0.2,55.8348,18.96846,92.70113,Purity-virtue,D
0.25,77.85549,23.70153,132.0094,Purity-virtue,D
0.3,108.5609,28.81471,188.3072,Purity-virtue,D
0.35,151.3763,33.79732,268.9552,Purity-virtue,D
0.05,26.24206,10.24473,42.23939,Purity-vice,D
0.1,38.86519,14.24892,63.48146,Purity-vice,D
0.15,57.56039,19.43047,95.69031,Purity-vice,D
0.2,85.24847,25.90554,144.5914,Purity-vice,D
0.25,126.2553,33.61033,218.9002,Purity-vice,D
0.3,186.9874,42.09612,331.8787,Purity-vice,D
0.35,276.9333,50.16696,503.6997,Purity-vice,D
