bioname,twitter_handle,chamber,district_code,state_abbrev,party_code,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
"SHIMKUS, John M.",RepShimkus,House,15,IL,200,0.371,0.135,-102.68575,0.91224,1118,44
"SHUSTER, William (Bill)",RepBillShuster,House,9,PA,200,0.374,0.325,-106.43694,0.90911,1117,46
"SIMPSON, Michael K.",CongMikeSimpson,House,2,ID,200,0.293,0.278,-104.56579,0.90971,1105,39
"SINEMA, Kyrsten",RepSinema,House,9,AZ,100,-0.109,0.043,-406.83045,0.68779,1087,188
"SIRES, Albio",RepSires,House,8,NJ,100,-0.4,0.088,-149.07797,0.86995,1070,66
"SLAUGHTER, Louise McIntosh",louiseslaughter,House,25,NY,100,-0.464,-0.109,-87.21678,0.92424,1107,39
"SMITH, Adam",RepAdamSmith,House,9,WA,100,-0.282,-0.137,-122.44395,0.87346,905,43
"SMITH, Adrian",RepAdrianSmith,House,3,NE,200,0.509,0.182,-81.65527,0.92938,1115,27
"SMITH, Christopher Henry",RepChrisSmith,House,4,NJ,200,0.159,-0.174,-336.0662,0.73938,1113,133
"SMITH, Jason",RepJasonSmith,House,8,MO,200,0.611,0.186,-80.56113,0.9303,1115,43
"SMITH, Lamar Seeligson",LamarSmithTX21,House,21,TX,200,0.425,0.06,-110.06417,0.90544,1108,48
"SPEIER, Karen Lorraine Jacqueline (Jackie)",RepSpeier,House,14,CA,100,-0.387,-0.445,-89.73649,0.91703,1036,45
"STABENOW, Deborah Ann",SenStabenow,Senate,0,MI,100,-0.327,0.025,-47.53472,0.89177,415,18
"STEFANIK, Elise M",RepStefanik,House,21,NY,200,0.214,0.037,-182.23087,0.85033,1124,72
"STEWART, Chris",RepChrisStewart,House,2,UT,200,0.522,0.122,-107.13396,0.90679,1095,38
"STIVERS, Steve",RepSteveStivers,House,15,OH,200,0.3,0.247,-104.77891,0.90721,1076,45
"STUTZMAN, Marlin",marlinstutzman,House,3,IN,200,0.742,-0.119,-92.80672,0.916,1061,41
"SULLIVAN, Daniel Scott",SenDanSullivan,Senate,0,AK,200,0.463,0.122,-101.15314,0.7823,412,34
"SWALWELL, Eric",RepSwalwell,House,15,CA,100,-0.356,-0.102,-93.53645,0.91726,1083,46
"TAKAI, Mark",RepMarkTakai,House,1,HI,100,-0.363,-0.038,-63.51748,0.906,646,19
"TAKANO, Mark",RepMarkTakano,House,41,CA,100,-0.476,-0.194,-87.91506,0.92483,1125,34
"TESTER, Jon",SenatorTester,Senate,0,MT,100,-0.215,0.166,-105.52661,0.77782,420,42
"THOMPSON, Bennie",BennieGThompson,House,2,MS,100,-0.514,0.404,-121.12197,0.89391,1080,56
"THOMPSON, Glenn",CongressmanGT,House,5,PA,200,0.308,0.362,-151.34275,0.87382,1122,65
"THOMPSON, Michael",RepThompson,House,5,CA,100,-0.394,0.062,-105.61088,0.90733,1086,44
"THORNBERRY, William McClellan (Mac)",,House,13,TX,200,0.529,0.307,-95.6661,0.91792,1117,42
"THUNE, John",SenJohnThune,Senate,0,SD,200,0.409,0.128,-69.67374,0.8468,419,36
"TIBERI, Patrick (Pat)",PatTiberi,House,12,OH,200,0.386,-0.029,-121.63438,0.8945,1091,57
"TILLIS, Thomas Roland (Thom)",SenThomTillis,Senate,0,NC,200,0.427,-0.007,-76.57178,0.83261,418,35
"TIPTON, Scott",RepTipton,House,3,CO,200,0.455,-0.055,-131.09147,0.88936,1118,72
"TITUS, Alice (Dina)",repdinatitus,House,1,NV,100,-0.296,-0.185,-112.82275,0.89966,1067,42
"TONKO, Paul",RepPaulTonko,House,20,NY,100,-0.423,-0.265,-84.37391,0.92629,1102,31
"TOOMEY, Patrick Joseph",SenToomey,Senate,0,PA,200,0.631,-0.288,-82.40417,0.81382,400,32
"TORRES, Norma Judith",NormaJTorres,House,35,CA,100,-0.362,0.022,-106.03331,0.90905,1112,45
"TROTT, David A.",repdavetrott,House,11,MI,200,0.369,0.282,-107.87932,0.90809,1119,43
"TSONGAS, Nicola S. (Niki)",nikiinthehouse,House,3,MA,100,-0.399,-0.187,-75.7571,0.9322,1079,29
"TURNER, Michael R.",RepMikeTurner,House,10,OH,200,0.267,0.176,-115.38871,0.8975,1067,54
"UDALL, Thomas (Tom)",SenatorTomUdall,Senate,0,NM,100,-0.454,0.182,-48.71682,0.88999,418,22
"UPTON, Frederick Stephen",RepFredUpton,House,6,MI,200,0.339,-0.408,-217.31035,0.82435,1125,91
"VALADAO, David G.",RepDavidValadao,House,21,CA,200,0.255,0.379,-111.57011,0.90535,1122,51
"VAN HOLLEN, Christopher",ChrisVanHollen,House,8,MD,100,-0.399,-0.175,-65.05874,0.94227,1094,20
"VARGAS, Juan",RepJuanVargas,House,51,CA,100,-0.388,0.118,-131.80561,0.8887,1117,62
"VEASEY, Marc",RepVeasey,House,33,TX,100,-0.412,0.302,-146.96525,0.87609,1111,78
"VELՁZQUEZ, Nydia M.",NydiaVelazquez,House,7,NY,100,-0.545,-0.356,-62.83876,0.94511,1113,23
"VELA, Filemon",RepFilemonVela,House,34,TX,100,-0.31,0.437,-229.97763,0.8118,1103,104
"VISCLOSKY, Peter",RepVisclosky,House,1,IN,100,-0.401,0.248,-160.35912,0.8656,1111,70
"VITTER, David",DavidVitter,Senate,0,LA,200,0.495,0.323,-65.55047,0.838,370,32
"WAGNER, Ann",RepAnnWagner,House,2,MO,200,0.47,0.208,-88.89009,0.9189,1051,38
"WALBERG, Tim",RepWalberg,House,7,MI,200,0.527,0.033,-99.01921,0.91524,1118,52
"WALDEN, Greg",repgregwalden,House,2,OR,200,0.339,-0.038,-113.5198,0.90377,1122,38
"WALKER, Bradley Mark",RepMarkWalker,House,6,NC,200,0.605,-0.017,-98.15225,0.91493,1104,44
"WALORSKI, Jackie",RepWalorski,House,2,IN,200,0.447,0.35,-73.6576,0.93591,1112,28
"WALTERS, Mimi",RepMimiWalters,House,45,CA,200,0.425,0.185,-108.89781,0.90476,1088,42
"WALZ, Tim",RepTimWalz,House,1,MN,100,-0.273,0.138,-195.4423,0.83895,1113,79
"WARNER, Mark",MarkWarner,Senate,0,VA,100,-0.196,-0.018,-75.15662,0.82308,386,33
"WARREN, Elizabeth",SenWarren,Senate,0,MA,100,-0.746,-0.253,-39.295,0.91068,420,14
"WASSERMAN SCHULTZ, Debbie",DWStweets,House,23,FL,100,-0.432,0.092,-84.29384,0.92178,1035,32
"WATERS, Maxine",RepMaxineWaters,House,43,CA,100,-0.66,-0.084,-99.82196,0.90831,1038,38
"WATSON COLEMAN, Bonnie",RepBonnie,House,12,NJ,100,-0.598,-0.269,-73.67934,0.93606,1115,36
"WEBER, Randy",TXRandy14,House,14,TX,200,0.711,0.051,-170.15125,0.85929,1122,72
"WEBSTER, Daniel A.",RepWebster,House,10,FL,200,0.478,0.011,-133.32107,0.88254,1067,54
"WELCH, Peter",PeterWelch,House,1,VT,100,-0.411,-0.325,-123.69411,0.89318,1095,54
"WENSTRUP, Brad",RepBradWenstrup,House,2,OH,200,0.578,0.169,-101.93982,0.9124,1112,44
"WESTERMAN, Bruce Eugene",RepWesterman,House,4,AR,200,0.543,0.376,-77.84317,0.93297,1122,32
"WESTMORELAND, Lynn A.",Westmoreland_GA,House,3,GA,200,0.672,0.189,-145.79575,0.857,946,55
"WHITEHOUSE, Sheldon",SenWhitehouse,Senate,0,RI,100,-0.416,-0.245,-47.36677,0.89311,419,23
"WHITFIELD, Wayne Edward (Ed)",RepEdWhitfield,House,1,KY,200,0.303,0.182,-161.20582,0.845,956,51
"WICKER, Roger F.",SenatorWicker,Senate,0,MS,200,0.376,0.365,-61.89847,0.86144,415,22
"WILLIAMS, Roger",RepRWilliams,House,25,TX,200,0.6,0.163,-82.85752,0.92447,1055,36
"WILSON, Addison Graves (Joe)",RepJoeWilson,House,2,SC,200,0.547,0.092,-87.76993,0.9241,1112,33
"WILSON, Frederica",RepWilson,House,24,FL,100,-0.476,-0.008,-73.22125,0.93208,1041,28
"WITTMAN, Robert J.",RobWittman,House,1,VA,200,0.421,-0.026,-151.80384,0.87314,1119,64
"WOMACK, Steve",rep_stevewomack,House,3,AR,200,0.344,0.589,-65.81362,0.94318,1125,20
"WOODALL, Rob",RepRobWoodall,House,7,GA,200,0.649,-0.288,-135.75874,0.88478,1109,72
"WYDEN, Ronald Lee",RonWyden,Senate,0,OR,100,-0.316,-0.411,-72.13435,0.84045,415,33
"YARMUTH, John",RepJohnYarmuth,House,3,KY,100,-0.381,-0.245,-72.67576,0.93257,1041,28
"YODER, Kevin",RepKevinYoder,House,3,KS,200,0.563,0.009,-118.41725,0.89872,1109,61
"YOHO, Ted",RepTedYoho,House,3,FL,200,0.701,-0.432,-174.78483,0.85431,1110,71
"YOUNG, David",RepDavidYoung,House,3,IA,200,0.448,-0.064,-144.60166,0.87938,1125,64
"YOUNG, Donald Edwin",repdonyoung,House,1,AK,200,0.278,0.008,-174.40309,0.84683,1049,73
"YOUNG, Todd",SenToddYoung,House,9,IN,200,0.487,0.06,-107.15239,0.90571,1082,48
"ZELDIN, Lee M",RepLeeZeldin,House,1,NY,200,0.354,-0.096,-195.19297,0.84006,1120,74
"ZINKE, Ryan",RepRyanZinke,House,1,MT,200,0.412,-0.097,-192.64626,0.83975,1103,69
