bioname,twitter_handle,chamber,district_code,state_abbrev,party_code,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
"LAMBORN, Doug",RepDLamborn,House,5,CO,200,0.69,0.191,-77.02911,0.93183,1091,30
"LANCE, Leonard",RepLanceNJ7,House,7,NJ,200,0.336,-0.226,-209.71754,0.82993,1125,106
"LANGEVIN, James",JimLangevin,House,2,RI,100,-0.375,0.105,-121.2068,0.89673,1112,55
"LANKFORD, James",SenatorLankford,Senate,0,OK,200,0.57,0.167,-107.78252,0.77318,419,46
"LARSEN, Richard Ray (Rick)",RepRickLarsen,House,2,WA,100,-0.365,0.202,-139.66047,0.88247,1117,61
"LARSON, John B.",RepJohnLarson,House,1,CT,100,-0.401,-0.058,-107.27336,0.90503,1075,45
"LATTA, Robert E.",boblatta,House,5,OH,200,0.519,0.253,-79.29313,0.93159,1119,25
"LAWRENCE, Brenda L",RepLawrence,House,14,MI,100,-0.45,-0.046,-81.0287,0.92966,1111,33
"LEAHY, Patrick Joseph",SenatorLeahy,Senate,0,VT,100,-0.374,-0.141,-46.08098,0.89466,414,21
"LEE, Barbara",RepBarbaraLee,House,13,CA,100,-0.685,-0.635,-48.18858,0.95455,1036,14
"LEE, Mike",SenMikeLee,Senate,0,UT,200,0.919,-0.394,-148.11906,0.68267,388,71
"LEVIN, Sander Martin",repsandylevin,House,9,MI,100,-0.377,-0.095,-82.34726,0.92825,1106,30
"LEWIS, John R.",repjohnlewis,House,5,GA,100,-0.588,-0.235,-72.51609,0.93302,1046,34
"LIEU, Ted",RepTedLieu,House,33,CA,100,-0.348,-0.386,-94.92512,0.91155,1025,41
"LIPINSKI, Daniel",RepLipinski,House,3,IL,100,-0.234,0.195,-290.32099,0.76692,1094,113
"LoBIONDO, Frank A.",RepLoBiondo,House,2,NJ,200,0.211,-0.232,-258.32505,0.79483,1125,118
"LOEBSACK, Dave",daveloebsack,House,2,IA,100,-0.278,-0.054,-101.7885,0.91253,1112,38
"LOFGREN, Zoe",RepZoeLofgren,House,19,CA,100,-0.401,-0.455,-110.75579,0.89962,1047,48
"LONG, Billy",USRepLong,House,7,MO,200,0.561,0.32,-88.28173,0.92116,1075,40
"LOUDERMILK, Barry D.",RepLoudermilk,House,11,GA,200,0.676,-0.071,-109.68522,0.90468,1095,50
"LOVE, Ludmya Bourdeau (Mia)",RepMiaLove,House,4,UT,200,0.57,-0.047,-104.3933,0.91008,1108,46
"LOWENTHAL, Alan",RepLowenthal,House,47,CA,100,-0.443,-0.353,-73.23066,0.93665,1119,28
"LOWEY, Nita M.",NitaLowey,House,17,NY,100,-0.388,-0.161,-97.58263,0.91613,1114,43
"LUCAS, Frank D.",RepFrankLucas,House,3,OK,200,0.363,0.41,-75.76005,0.93482,1124,29
"LUETKEMEYER, Blaine",RepBlainePress,House,3,MO,200,0.445,0.239,-86.5095,0.92476,1106,36
"LUJՁN, Ben Ray",repbenraylujan,House,3,NM,100,-0.369,0.038,-112.40462,0.9041,1115,43
"LUJAN GRISHAM, Michelle",RepLujanGrisham,House,1,NM,100,-0.326,0.091,-129.99349,0.8858,1072,48
"LUMMIS, Cynthia M.",CynthiaLummis,House,1,WY,200,0.675,-0.357,-159.92233,0.865,1107,73
"LYNCH, Stephen F.",RepStephenLynch,House,8,MA,100,-0.351,0.03,-153.36556,0.8703,1104,67
"MacARTHUR, Thomas Charles",RepTomMacArthur,House,3,NJ,200,0.208,0.24,-174.23326,0.85509,1113,75
"MALONEY, Carolyn Bosher",RepMaloney,House,12,NY,100,-0.385,-0.286,-96.53911,0.91396,1073,35
